Type,Condition,SNOMED Concept ID,Code Description
Local,Congenital Heart Disease,1519002,Congenital phlebectasia (disorder)
Local,Congenital Heart Disease,2583009,Chiari's network (disorder)
Local,Congenital Heart Disease,2829000,Uhl's disease (disorder)
Local,Congenital Heart Disease,4374004,Congenital anomaly of tricuspid valve (disorder)
Local,Congenital Heart Disease,5230009,Congenital absence of coronary artery (disorder)
Local,Congenital Heart Disease,7305005,Coarctation of aorta (disorder)
Local,Congenital Heart Disease,7368005,Double outlet left ventricle (disorder)
Local,Congenital Heart Disease,7438000,Congenital atresia of aorta (disorder)
Local,Congenital Heart Disease,7484005,Double outlet right ventricle (disorder)
Local,Congenital Heart Disease,9904008,Congenital anomaly of cardiovascular system (disorder)
Local,Congenital Heart Disease,10451007,Double aortic arch (disorder)
Local,Congenital Heart Disease,10818008,Congenital malposition of heart (disorder)
Local,Congenital Heart Disease,12770006,Cyanotic congenital heart disease (disorder)
Local,Congenital Heart Disease,13213009,Congenital heart disease (disorder)
Local,Congenital Heart Disease,13867009,Preductal coarctation of aorta (disorder)
Local,Congenital Heart Disease,14886009,Abdominal heart (disorder)
Local,Congenital Heart Disease,15096009,Congenital insufficiency of pulmonary valve (disorder)
Local,Congenital Heart Disease,15459006,Endocardial cushion defect (disorder)
Local,Congenital Heart Disease,16567006,Mesocardia (disorder)
Local,Congenital Heart Disease,16972009,Congenital aneurysm of aorta (disorder)
Local,Congenital Heart Disease,17024001,Aortic septal defect (disorder)
Local,Congenital Heart Disease,17718000,Ostium primum defect (disorder)
Local,Congenital Heart Disease,18546004,Congenital stenosis of aortic valve (disorder)
Local,Congenital Heart Disease,21981000,Single coronary artery (disorder)
Local,Congenital Heart Disease,26780008,Coarctation of pulmonary artery (disorder)
Local,Congenital Heart Disease,27637000,Dextrocardia (disorder)
Local,Congenital Heart Disease,27885002,Complete atrioventricular block (disorder)
Local,Congenital Heart Disease,28574005,Congenital anomaly of coronary artery (disorder)
Local,Congenital Heart Disease,28656008,Congenital insufficiency of aortic valve (disorder)
Local,Congenital Heart Disease,29928006,Congenital insufficiency of mitral valve (disorder)
Local,Congenital Heart Disease,30288003,Ventricular septal defect (disorder)
Local,Congenital Heart Disease,36110001,Congenital anomaly of pulmonary artery (disorder)
Local,Congenital Heart Disease,36233006,Congenital stenosis of tricuspid valve (disorder)
Local,Congenital Heart Disease,36422005,Transposition of pulmonary veins (disorder)
Local,Congenital Heart Disease,39905002,Scimitar syndrome (disorder)
Local,Congenital Heart Disease,41893002,Left ventricular-right atrial communication (disorder)
Local,Congenital Heart Disease,45237002,Congenital dilatation of aorta (disorder)
Local,Congenital Heart Disease,45492009,Congenital stenosis of superior vena cava (disorder)
Local,Congenital Heart Disease,45503006,Common ventricle (disorder)
Local,Congenital Heart Disease,46619002,Congenital heart block (disorder)
Local,Congenital Heart Disease,48121000,Congenital cardiomegaly (disorder)
Local,Congenital Heart Disease,48520006,Congenital atresia of cardiac vein (disorder)
Local,Congenital Heart Disease,54160000,Congenital aneurysm of sinus of Valsalva (disorder)
Local,Congenital Heart Disease,54682008,Congenital hypoplasia of pulmonary artery (disorder)
Local,Congenital Heart Disease,55510008,Cor triatriatum (disorder)
Local,Congenital Heart Disease,59877000,Congenital anomaly of aorta (disorder)
Local,Congenital Heart Disease,60787001,Congenital hypoplasia of aortic arch (disorder)
Local,Congenital Heart Disease,61959006,Common truncus arteriosus (disorder)
Local,Congenital Heart Disease,62067003,Hypoplastic left heart syndrome (disorder)
Local,Congenital Heart Disease,62335009,Congenital stenosis of inferior vena cava (disorder)
Local,Congenital Heart Disease,63042009,Congenital atresia of tricuspid valve (disorder)
Local,Congenital Heart Disease,63934006,Overriding aorta (disorder)
Local,Congenital Heart Disease,66403007,Vascular ring of aorta (disorder)
Local,Congenital Heart Disease,67278007,Congenital stenosis of pulmonary valve (disorder)
Local,Congenital Heart Disease,68237008,Partial anomalous pulmonary venous connection (disorder)
Local,Congenital Heart Disease,70142008,Atrial septal defect (disorder)
Local,Congenital Heart Disease,70320004,Congenital anomaly of heart valve (disorder)
Local,Congenital Heart Disease,72242008,Postductal coarctation of aorta (disorder)
Local,Congenital Heart Disease,72352009,Bicuspid aortic valve (disorder)
Local,Congenital Heart Disease,74218008,Coronary artery arising from main pulmonary artery (disorder)
Local,Congenital Heart Disease,74561007,Kommerell's diverticulum (disorder)
Local,Congenital Heart Disease,75145007,Stricture of aorta (disorder)
Local,Congenital Heart Disease,75270000,Congenital diverticulum of left ventricle (disorder)
Local,Congenital Heart Disease,77978002,Persistent left superior vena cava (disorder)
Local,Congenital Heart Disease,78250005,Ectopia cordis (disorder)
Local,Congenital Heart Disease,79439001,Congenital anomaly of aortic arch (disorder)
Local,Congenital Heart Disease,80387009,Roger's disease (disorder)
Local,Congenital Heart Disease,81990004,Cor biloculare (disorder)
Local,Congenital Heart Disease,82458004,Congenital stenosis of mitral valve (disorder)
Local,Congenital Heart Disease,83330001,Patent ductus arteriosus (disorder)
Local,Congenital Heart Disease,83799000,Corrected transposition of great vessels (disorder)
Local,Congenital Heart Disease,86252004,Agenesis of pulmonary artery (disorder)
Local,Congenital Heart Disease,86299006,Tetralogy of Fallot (disorder)
Local,Congenital Heart Disease,90383006,Congenital absence of aorta (disorder)
Local,Congenital Heart Disease,91605000,Congenital absence of artery (disorder)
Local,Congenital Heart Disease,91634006,Fused commissures of mitral valve (disorder)
Local,Congenital Heart Disease,93384001,Congenital stenosis of aortic arch (disorder)
Local,Congenital Heart Disease,95441000,Pulmonary artery stenosis (disorder)
Local,Congenital Heart Disease,111321007,Right aortic arch (disorder)
Local,Congenital Heart Disease,111322000,Congenital anomaly of pulmonary veins (disorder)
Local,Congenital Heart Disease,111323005,Total anomalous pulmonary venous return (disorder)
Local,Congenital Heart Disease,194892009,Pulmonary artery aneurysm (disorder)
Local,Congenital Heart Disease,204296002,Discordant ventriculoarterial connection (disorder)
Local,Congenital Heart Disease,204297006,Total great vessel transposition (disorder)
Local,Congenital Heart Disease,204299009,Dextratransposition of aorta (disorder)
Local,Congenital Heart Disease,204300001,Incomplete great vessel transposition (disorder)
Local,Congenital Heart Disease,204306007,Pentalogy of Fallot (disorder)
Local,Congenital Heart Disease,204311009,Eisenmenger's complex (disorder)
Local,Congenital Heart Disease,204312002,Ventricular septal defect between left ventricle and right atrium (disorder)
Local,Congenital Heart Disease,204315000,Atrial septal defect within oval fossa (disorder)
Local,Congenital Heart Disease,204317008,Patent foramen ovale (disorder)
Local,Congenital Heart Disease,204318003,Persistent ostium secundum (disorder)
Local,Congenital Heart Disease,204319006,Lutembacher's syndrome (disorder)
Local,Congenital Heart Disease,204330009,Common atrioventricular-type ventricular septal defect (disorder)
Local,Congenital Heart Disease,204339005,Congenital pulmonary valve abnormality (disorder)
Local,Congenital Heart Disease,204342004,Congenital atresia of the pulmonary valve (disorder)
Local,Congenital Heart Disease,204343009,Hypoplasia of pulmonary valve (disorder)
Local,Congenital Heart Disease,204345002,Congenital fusion of pulmonic cusps (disorder)
Local,Congenital Heart Disease,204346001,Congenital fusion of pulmonary valve segment (disorder)
Local,Congenital Heart Disease,204351007,Fallot's trilogy (disorder)
Local,Congenital Heart Disease,204352000,Supernumerary pulmonary valve cusps (disorder)
Local,Congenital Heart Disease,204354004,Congenital tricuspid atresia and stenosis (disorder)
Local,Congenital Heart Disease,204357006,Ebstein's anomaly of tricuspid valve (disorder)
Local,Congenital Heart Disease,204362007,Parachute malformation of mitral valve
Local,Congenital Heart Disease,204363002,Supernumerary cusps of the mitral valve (disorder)
Local,Congenital Heart Disease,204368006,Subaortic stenosis (disorder)
Local,Congenital Heart Disease,204370002,Pulmonary infundibular stenosis (disorder)
Local,Congenital Heart Disease,204378009,Congenital coronary aneurysm (disorder)
Local,Congenital Heart Disease,204379001,Congenital stricture of coronary artery (disorder)
Local,Congenital Heart Disease,204383001,Congenital complete atrioventricular heart block (disorder)
Local,Congenital Heart Disease,204384007,Congenital incomplete atrioventricular heart block (disorder)
Local,Congenital Heart Disease,204391005,Hypoplasia of cardiac vein (disorder)
Local,Congenital Heart Disease,204394002,Congenital anomaly of myocardium (disorder)
Local,Congenital Heart Disease,204395001,Congenital aneurysm of heart (disorder)
Local,Congenital Heart Disease,204397009,Cor triloculare (disorder)
Local,Congenital Heart Disease,204398004,Congenital epicardial cyst (disorder)
Local,Congenital Heart Disease,204399007,Hemicardia (disorder)
Local,Congenital Heart Disease,204402008,Fusion of mitral valve cusps (disorder)
Local,Congenital Heart Disease,204407002,Anomalous bands of heart (disorder)
Local,Congenital Heart Disease,204409004,Anomalous ventricular bands (disorder)
Local,Congenital Heart Disease,204423002,Anomalous origin of the aortic arch (disorder)
Local,Congenital Heart Disease,204427001,Persistent aortic arch convolutions (disorder)
Local,Congenital Heart Disease,204431007,Atresia and stenosis of aorta (disorder)
Local,Congenital Heart Disease,204433005,Aplasia of aorta (disorder)
Local,Congenital Heart Disease,204443008,Pulmonary artery atresia (disorder)
Local,Congenital Heart Disease,204448004,Atresia of pulmonary artery with septal defect (disorder)
Local,Congenital Heart Disease,204451006,Anomalies of great veins (disorder)
Local,Congenital Heart Disease,204456001,Subdiaphragmatic total anomalous pulmonary venous return (disorder)
Local,Congenital Heart Disease,204457005,Supradiaphragmatic total anomalous pulmonary venous return (disorder)
Local,Congenital Heart Disease,204463001,Absence of inferior vena cava (disorder)
Local,Congenital Heart Disease,204464007,Absence of superior vena cava (disorder)
Local,Congenital Heart Disease,204467000,Pulmonary vein atresia (disorder)
Local,Congenital Heart Disease,205769006,Situs inversus with levocardia (disorder)
Local,Congenital Heart Disease,206597007,Persistent fetal circulation (disorder)
Local,Congenital Heart Disease,218728005,Interrupted aortic arch (disorder)
Local,Congenital Heart Disease,234132006,Congenital abnormality of great veins and coronary sinus (disorder)
Local,Congenital Heart Disease,234141001,Congenital arteriovenous malformation (disorder)
Local,Congenital Heart Disease,251047005,Dilatation of pulmonary artery (disorder)
Local,Congenital Heart Disease,253264007,"Congenital heart disease, septal and bulbar anomalies (disorder)"
Local,Congenital Heart Disease,253273004,Cardiac septal defects (disorder)
Local,Congenital Heart Disease,253276007,Cor triloculare biventriculare (disorder)
Local,Congenital Heart Disease,253297008,Transposition of aorta (disorder)
Local,Congenital Heart Disease,253321003,Anomalous termination of right pulmonary vein (disorder)
Local,Congenital Heart Disease,253335001,Isomerism of atrial appendages (disorder)
Local,Congenital Heart Disease,253366007,Interauricular septal defect (disorder)
Local,Congenital Heart Disease,253514004,Dextraposition of aorta in Fallot's tetralogy (disorder)
Local,Congenital Heart Disease,253515003,Ventricular septal defect in Fallot's tetralogy (disorder)
Local,Congenital Heart Disease,253530007,Right ventricular outflow tract obstruction (disorder)
Local,Congenital Heart Disease,253546004,Left ventricular outflow tract obstruction (disorder)
Local,Congenital Heart Disease,253601007,Aortic valve ring hypoplasia (disorder)
Local,Congenital Heart Disease,253614008,Tubular hypoplasia of aorta (disorder)
Local,Congenital Heart Disease,253615009,Anomalies of the aorta excluding coarction (disorder)
Local,Congenital Heart Disease,253639004,Intrapulmonary arteriovenous fistula (disorder)
Local,Congenital Heart Disease,253672004,Preductal aortic stenosis (disorder)
Local,Congenital Heart Disease,253673009,Preductal interruption of aorta (disorder)
Local,Congenital Heart Disease,253674003,Preductal hypoplasia of aorta (disorder)
Local,Congenital Heart Disease,253676001,Postductal aortic stenosis (disorder)
Local,Congenital Heart Disease,253677005,Postductal interruption of aorta (disorder)
Local,Congenital Heart Disease,253680006,Postductal hypoplasia of aorta (disorder)
Local,Congenital Heart Disease,253720000,Congenital coronary arteriovenous fistula (disorder)
Local,Congenital Heart Disease,253732001,Totally absent pericardium (disorder)
Local,Congenital Heart Disease,268174004,Bulbus cordis and cardiac septal closure anomalies (disorder)
Local,Congenital Heart Disease,268180007,Right hypoplastic heart syndrome (disorder)
Local,Congenital Heart Disease,268184003,Hypoplasia of aorta (disorder)
Local,Congenital Heart Disease,268185002,Supravalvar aortic stenosis (disorder)
Local,Congenital Heart Disease,270510008,Anomalous coronary artery communication (disorder)
Local,Congenital Heart Disease,270512000,Pulmonary arteriovenous aneurysm (disorder)
Local,Congenital Heart Disease,271573009,Congenital abnormality of thoracic aorta and pulmonary arteries (disorder)
Local,Congenital Heart Disease,275519006,Peripheral arteriovenous malformation (disorder)
Local,Congenital Heart Disease,275521001,Blue baby (finding)
Local,Congenital Heart Disease,303070000,Pulmonary arteriovenous malformation (disorder)
Local,Congenital Heart Disease,311808009,Aberrant retroesophageal subclavian artery causing dysphagia lusoria (disorder)
Local,Congenital Heart Disease,360481003,Common atrioventricular canal (disorder)
Local,Congenital Heart Disease,397830005,Pericardial anomaly (disorder)
Local,Congenital Heart Disease,424045003,Myocardial bridge of coronary artery (disorder)
Local,Congenital Heart Disease,448742006,Abnormality of aortic arch (disorder)
Local,Congenital Heart Disease,461105005,Anomalous origin of coronary artery from aorta (disorder)
Local,Congenital Heart Disease,341751000000103,Congenital dextroposition of heart (disorder)
Local,Congenital Heart Disease,692861000000104,Heart bulb or septal closure defects NOS (disorder)
Local,Pulmonary Hypertension,11399002,Pulmonary arterial hypertension
Local,Pulmonary Hypertension,233815004,Persistent pulmonary hypertension of the newborn 
Local,Pulmonary Hypertension,233945002,Drug-induced pulmonary hypertension  
Local,Pulmonary Hypertension,445928005,Eisenmenger's syndrome
Local,Pulmonary Hypertension,697896007,Precapillary pulmonary hypertension
Local,Pulmonary Hypertension,697897003,Heritable pulmonary arterial hypertension 
Local,Pulmonary Hypertension,697898008,Idiopathic pulmonary arterial hypertension
Local,Pulmonary Hypertension,697901009,Pulmonary arterial hypertension induced by toxin
Local,Pulmonary Hypertension,697902002,Associated pulmonary arterial hypertension
Local,Pulmonary Hypertension,879814007,Pulmonary hypertension due to pulmonary capillary hemangiomatosis
Local,Pulmonary Hypertension,879815008,Pulmonary hypertension due to pulmonary veno-occlusive disease
Local,Supraventricular Tachycardia,6456007,Supraventricular tachycardia
Local,Supraventricular Tachycardia,67198005,Paroxysmal supraventricular tachycardia   
Local,Supraventricular Tachycardia,72654001,Supraventricular arrhythmia   
Local,Supraventricular Tachycardia,233900001,Supraventricular tachycardia with functional bundle branch block   
Local,Supraventricular Tachycardia,425582007,Inappropriate sinus tachycardia   
Local,Supraventricular Tachycardia,462169004,Fetal supraventricular tachycardia with short ventriculoatrial interval   
Local,Supraventricular Tachycardia,462170003,Fetal supraventricular tachycardia with long ventriculoatrial interval  
Local,Ventricular Tachycardia,6665,Paroxysmal ventricular tachycardia  
Local,Ventricular Tachycardia,25569003,Ventricular tachycardia
Local,Ventricular Tachycardia,233901002,His bundle tachycardia   
Local,Ventricular Tachycardia,233906007,Familial ventricular tachycardia   
Local,Ventricular Tachycardia,233907003,Induced ventricular tachycardia   
Local,Ventricular Tachycardia,233908008,Incessant infant ventricular tachycardia   
Local,Ventricular Tachycardia,251157009,Narrow QRS ventricular tachycardia   
Local,Ventricular Tachycardia,418872003,Fascicular ventricular tachycardia   
Local,Ventricular Tachycardia,444658006,Nonsustained ventricular tachycardia   
Local,Ventricular Tachycardia,710878005,Mahaim fiber tachycardia  
Local,Ventricular Tachycardia,1163437003,Idiopathic ventricular tachycardia  
Local,Ventricular Tachycardia,1204171000,Bidirectional ventricular tachycardia   
Local,Ventricular Tachycardia,1204205002,Left outflow tract ventricular tachycardia   
Local,Ventricular Tachycardia,1208899000,Mitral annular ventricular tachycardia   
National,Autism,23560001,Asperger's disorder (disorder)
National,Autism,35919005,Pervasive developmental disorder (disorder)
National,Autism,43614003,Autistic disorder of childhood onset (disorder)
National,Autism,71961003,Childhood disintegrative disorder (disorder)
National,Autism,191689008,Active infantile autism (disorder)
National,Autism,191690004,Residual infantile autism (disorder)
National,Autism,191692007,Active disintegrative psychoses (disorder)
National,Autism,191693002,Residual disintegrative psychoses (disorder)
National,Autism,231536004,Atypical autism (disorder)
National,Autism,373618009,Autistic spectrum disorder with isolated skills (disorder)
National,Autism,408856003,Autistic disorder (disorder)
National,Autism,408857007,Infantile autism (disorder)
National,Autism,432091002,Savant syndrome (disorder)
National,Autism,442314000,Active but odd autism (disorder)
National,Autism,702732007,High-functioning autism (disorder)
National,Autism,708037001,Residual Asperger's disorder (disorder)
National,Autism,722287002,Autism and facial port-wine stain syndrome (disorder)
National,Autism,723332005,Isodicentric chromosome 15 syndrome (disorder)
National,Autism,733623005,"Autism spectrum disorder, epilepsy, arthrogryposis syndrome (disorder)"
National,Autism,766824003,"Activity dependent neuroprotector homeobox related multiple congenital anomalies, intellectual disability, autism spectrum disorder (disorder)"
National,Autism,770790004,Developmental delay with autism spectrum disorder and gait instability (disorder)
National,Autism,771448004,Autism epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency (disorder)
National,Autism,771512003,Autism spectrum disorder due to AUTS2 activator of transcription and developmental regulator deficiency (disorder)
National,Autism,783089006,"Macrocephaly, intellectual disability, autism syndrome (disorder)"
National,Autism,870260008,Pervasive developmental disorder with marked impairment of functional language with loss of previously acquired skills (disorder)
National,Autism,870261007,Pervasive developmental disorder with marked impairment of functional language without loss of previously acquired skills (disorder)
National,Autism,870262000,Pervasive developmental disorder with disorder of intellectual development without loss of previously acquired skills (disorder)
National,Autism,870263005,Pervasive developmental disorder with impairment of functional language (disorder)
National,Autism,870264004,Pervasive developmental disorder with disorder of intellectual development and pervasive impairment of functional language without loss of previously acquired skills (disorder)
National,Autism,870265003,Pervasive developmental disorder with disorder of intellectual development with loss of previously acquired skills (disorder)
National,Autism,870266002,Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language with loss of previously acquired skills (disorder)
National,Autism,870267006,Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language without loss of previously acquired skills (disorder)
National,Autism,870268001,Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language without loss of previously acquired skills (disorder)
National,Autism,870269009,Pervasive developmental disorder with disorder of intellectual development and absence of functional language with loss of previously acquired skills (disorder)
National,Autism,870270005,Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language with loss of previously acquired skills (disorder)
National,Autism,870280009,Pervasive developmental disorder with severe impairment of functional language with loss of previously acquired skills (disorder)
National,Autism,870282001,Pervasive developmental disorder with severe impairment of functional language without loss of previously acquired skills (disorder)
National,Autism,870303005,Pervasive developmental disorder with complete impairment of functional language with loss of previously acquired skills (disorder)
National,Autism,870304004,Pervasive developmental disorder with complete impairment of functional language without loss of previously acquired skills (disorder)
National,Autism,870305003,Pervasive developmental disorder with cognitive developmental delay and marked impairment of functional language (disorder)
National,Autism,870306002,Pervasive developmental disorder with complete impairment of functional language (disorder)
National,Autism,870307006,Pervasive developmental disorder with abscence of functional language (disorder)
National,Autism,870308001,Pervasive developmental disorder with cognitive developmental delay and complete impairment of functional language (disorder)
National,Autism,39951000119105,Pervasive developmental disorder of residual state (disorder)
National,CKD State 3 - 5,431857002,Chronic kidney disease stage 4 (disorder)
National,CKD State 3 - 5,433144002,Chronic kidney disease stage 3 (disorder)
National,CKD State 3 - 5,433146000,Chronic kidney disease stage 5 (disorder)
National,CKD State 3 - 5,700378005,Chronic kidney disease stage 3A (disorder)
National,CKD State 3 - 5,700379002,Chronic kidney disease stage 3B (disorder)
National,CKD State 3 - 5,714152005,Chronic kidney disease stage 5 on dialysis (disorder)
National,CKD State 3 - 5,714153000,Chronic kidney disease stage 5 with transplant (disorder)
National,CKD State 3 - 5,711000119100,Chronic kidney disease stage 5 due to type 2 diabetes mellitus (disorder)
National,CKD State 3 - 5,721000119107,Chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder)
National,CKD State 3 - 5,731000119105,Chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder)
National,CKD State 3 - 5,90741000119107,Chronic kidney disease stage 3 due to type 1 diabetes mellitus (disorder)
National,CKD State 3 - 5,90751000119109,Chronic kidney disease stage 4 due to type 1 diabetes mellitus (disorder)
National,CKD State 3 - 5,90761000119106,Chronic kidney disease stage 5 due to type 1 diabetes mellitus (disorder)
National,CKD State 3 - 5,96711000119105,Hypertensive heart AND chronic kidney disease stage 5 (disorder)
National,CKD State 3 - 5,96721000119103,Hypertensive heart AND chronic kidney disease stage 4 (disorder)
National,CKD State 3 - 5,96731000119100,Hypertensive heart AND chronic kidney disease stage 3 (disorder)
National,CKD State 3 - 5,129151000119102,Chronic kidney disease stage 4 due to hypertension (disorder)
National,CKD State 3 - 5,129161000119100,Chronic kidney disease stage 5 due to hypertension (disorder)
National,CKD State 3 - 5,129171000119106,Chronic kidney disease stage 3 due to hypertension (disorder)
National,CKD State 3 - 5,140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus (disorder)
National,CKD State 3 - 5,140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder)
National,CKD State 3 - 5,140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder)
National,CKD State 3 - 5,153851000119106,Malignant hypertensive chronic kidney disease stage 5 (disorder)
National,CKD State 3 - 5,284991000119104,Chronic kidney disease stage 3 due to benign hypertension (disorder)
National,CKD State 3 - 5,285001000119105,Chronic kidney disease stage 4 due to benign hypertension (disorder)
National,CKD State 3 - 5,285011000119108,Chronic kidney disease stage 5 due to benign hypertension (disorder)
National,CKD State 3 - 5,285871000119106,Malignant hypertensive chronic kidney disease stage 3 (disorder)
National,CKD State 3 - 5,285881000119109,Malignant hypertensive chronic kidney disease stage 4 (disorder)
National,CKD State 3 - 5,324251000000105,Chronic kidney disease stage 3 with proteinuria (disorder)
National,CKD State 3 - 5,324281000000104,Chronic kidney disease stage 3 without proteinuria (disorder)
National,CKD State 3 - 5,324311000000101,Chronic kidney disease stage 3A with proteinuria (disorder)
National,CKD State 3 - 5,324341000000100,Chronic kidney disease stage 3A without proteinuria (disorder)
National,CKD State 3 - 5,324371000000106,Chronic kidney disease stage 3B with proteinuria (disorder)
National,CKD State 3 - 5,324411000000105,Chronic kidney disease stage 3B without proteinuria (disorder)
National,CKD State 3 - 5,324441000000106,Chronic kidney disease stage 4 with proteinuria (disorder)
National,CKD State 3 - 5,324471000000100,Chronic kidney disease stage 4 without proteinuria (disorder)
National,CKD State 3 - 5,324501000000107,Chronic kidney disease stage 5 with proteinuria (disorder)
National,CKD State 3 - 5,324541000000105,Chronic kidney disease stage 5 without proteinuria (disorder)
National,CKD State 3 - 5,368441000119102,Chronic kidney disease stage 3 due to drug induced diabetes mellitus (disorder)
National,CKD State 3 - 5,368451000119100,Chronic kidney disease stage 4 due to drug induced diabetes mellitus (disorder)
National,CKD State 3 - 5,368461000119103,Chronic kidney disease stage 5 due to drug induced diabetes mellitus (disorder)
National,CKD State 3 - 5,691421000119108,Anemia co-occurrent and due to chronic kidney disease stage 3 (disorder)
National,CKD State 3 - 5,949881000000106,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1 (disorder)
National,CKD State 3 - 5,949901000000109,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2 (disorder)
National,CKD State 3 - 5,949921000000100,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3 (disorder)
National,CKD State 3 - 5,950061000000103,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1 (disorder)
National,CKD State 3 - 5,950081000000107,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2 (disorder)
National,CKD State 3 - 5,950101000000101,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3 (disorder)
National,CKD State 3 - 5,950181000000106,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1 (disorder)
National,CKD State 3 - 5,950211000000107,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2 (disorder)
National,CKD State 3 - 5,950231000000104,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3 (disorder)
National,CKD State 3 - 5,950251000000106,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1 (disorder)
National,CKD State 3 - 5,950291000000103,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2 (disorder)
National,CKD State 3 - 5,950311000000102,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3 (disorder)
National,Depression,832007,Moderate major depression (disorder)
National,Depression,14183003,"Chronic major depressive disorder, single episode (disorder)"
National,Depression,15639000,"Moderate major depression, single episode (disorder)"
National,Depression,18818009,Moderate recurrent major depression (disorder)
National,Depression,19527009,Single episode of major depression in full remission (disorder)
National,Depression,20250007,"Severe major depression, single episode, with psychotic features, mood-incongruent (disorder)"
National,Depression,25922000,"Major depressive disorder, single episode with postpartum onset (disorder)"
National,Depression,28475009,Severe recurrent major depression with psychotic features (disorder)
National,Depression,30605009,Major depression in partial remission (disorder)
National,Depression,33135002,Recurrent major depression in partial remission (disorder)
National,Depression,35489007,Depressive disorder (disorder)
National,Depression,36474008,Severe recurrent major depression without psychotic features (disorder)
National,Depression,36923009,"Major depression, single episode (disorder)"
National,Depression,40379007,Mild recurrent major depression (disorder)
National,Depression,40568001,Recurrent brief depressive disorder (disorder)
National,Depression,42810003,Major depression in remission (disorder)
National,Depression,42925002,"Major depressive disorder, single episode with atypical features (disorder)"
National,Depression,46244001,Recurrent major depression in full remission (disorder)
